player_id,name,new_id,own_goals,yellow_cards,yellow_red_cards,red_cards,minutes_played,penalty_goals,minutes_per_goal,matches,goals,assists,to_nil,conceded_goals
555074,Oliwier Zych,5bab279e,0,5,0,0,9320,0,0.0,105,0,0,25,172
555143,Arsen Zakharyan,70ed153b,0,22,1,0,13001,0,60690476194753.5,189,41,44,0,0
556385,Destiny Udogie,dfb89137,1,31,1,0,14177,1,121450000003420.3,187,21,18,0,0
559172,Jayden Fevrier,ab54e426,0,6,1,0,6939,0,2086.25,105,12,14,0,0
559263,Fábio Carvalho,0bda0239,0,18,0,0,12895,2,29532323442259.8,192,55,30,0,0
559328,Emanuel Emegha,a4673cf2,0,16,0,0,8332,1,174713131576084.5,141,43,13,0,0
559330,Salah-Eddine Oulad M'Hand,465e4e05,0,3,0,1,5517,0,2194.8,85,12,8,0,0
564529,Victor Kristiansen,34752c99,0,31,0,0,14510,0,2100.0,195,2,21,0,0
564674,Matty Carson,0af62956,1,16,0,1,6476,0,1853.0,85,6,7,0,0
564792,Giovanni Garofani,e5a890bc,0,1,0,0,6245,0,0.0,71,0,0,24,92
565822,Harvey Elliott,ebdd8cf8,0,19,0,0,14555,5,87714285719393.0,242,39,46,0,0
565846,Imari Samuels,0375e84c,0,8,0,0,7797,0,3048.0,105,3,14,0,0
566677,Nelson Abbey,74a46e9c,3,9,1,1,5670,0,537.5,79,2,0,0,0
566799,James Trafford,e7e226a8,0,10,0,1,17718,0,0.0,201,0,6,75,226
566927,Giovanni Corradini,ef36b9c6,1,30,0,0,10645,8,1886.2,134,26,7,0,0
566936,Antonio Cioffi,83613cd3,0,17,0,1,9739,8,13671428573037.9,153,35,11,0,0
567114,Liam Morrison,2a3c12da,0,16,0,0,6540,0,4697.0,87,4,3,0,0
567444,Emanuel Ercolano,c906b676,0,17,2,0,11169,0,4557.5,166,8,9,0,0
567453,Gabriele Mulazzi,a4b300eb,0,10,2,0,9895,0,924.25,144,10,17,0,0
567454,Lorenzo Lucchesi,bff629c3,0,32,0,0,8162,0,2599.2,95,8,5,0,0
567456,Andrea Bonetti,b33ef119,0,15,0,0,6611,2,41866666667730.8,108,15,7,0,0
567462,Luca Magazzú,9b62cc0e,0,22,0,3,6894,6,151333333335749.6,128,32,12,0,0
567465,Sebastiano Desplanches,555a062c,0,8,0,0,9483,0,0.0,111,0,0,39,124
567466,Alessandro Citi,a38102e1,0,11,0,1,7909,0,4574.5,108,4,1,0,0
567470,Samuel Giovane,dd3aebf9,0,36,0,1,10557,4,2856.8,191,14,12,0,0
567472,Federico Zuccon,539c26bc,0,30,1,0,10725,2,11733333335889.0,167,10,12,0,0
567473,Alessio Rosa,5c2a3cb3,0,9,0,1,6262,3,15216666749602.0,124,35,3,0,0
567475,Andrea Ceresoli,9c2aa0c3,0,23,1,0,13495,0,89466666670500.0,172,5,18,0,0
567476,Gabriele Berto,3f37647d,0,12,1,1,10903,0,4116.0,138,3,1,0,0
567478,Davide Acampa,685cef3f,0,8,0,0,5800,0,36433333334652.5,97,6,3,0,0
